key_count,unique_keys,dwell_mean,flight_mean,key_rate,mouse_speed_mean,mouse_clicks,eye_aspect_mean,label
8,7,0.219801664352417,0.4080886159624372,2.6666666666666665,345.17855296350854,0,0.0,2
0,0,0.0,0.0,0.0,914.7507493537894,0,0.0,2
10,9,0.1178631782531738,0.2769637637668186,3.333333333333333,0.0,0,0.0,0
16,10,0.1040143330891927,0.28058975537618,5.333333333333333,0.0,0,0.0,0
0,0,0.0,0.0,0.0,0.0,0,0.0,2
2,2,0.2989703416824341,0.0,0.6666666666666666,1045.4683973352105,1,0.0,0
0,0,0.0,0.0,0.0,694.5621642565893,0,0.0,1
2,2,0.2510949373245239,0.0,0.6666666666666666,844.1486088716844,0,0.0,2
0,0,0.0,0.0,0.0,1404.637768396455,3,0.0,1
0,0,0.0,0.0,0.0,2285.56372198517,1,0.0,1
0,0,0.0,0.0,0.0,585.703772638749,0,0.0,0
14,11,0.149908946110652,0.2489603299361009,4.666666666666667,0.0,0,0.0,2
12,10,0.1232187151908874,0.3228515494953502,4.0,0.0,0,0.0,0
0,0,0.0,0.0,0.0,511.6209685262066,0,0.0,0
3,2,0.4632542928059895,0.5734775066375732,1.0,2520.900032107704,1,0.0,1
12,10,0.1333966851234436,0.2042103030464866,4.0,0.0,0,0.0,0
0,0,0.0,0.0,0.0,2437.660378989288,2,0.0,1
1,1,0.1177606582641601,0.0,0.3333333333333333,104.17329685146382,1,0.0,0
2,2,0.2895249128341675,0.0,0.6666666666666666,2178.628908960739,0,0.0,0
8,5,0.1404914855957031,0.2042854854038783,2.6666666666666665,298.254453704407,1,0.0,0
12,10,0.1399912595748901,0.5954564918171276,4.0,0.0,0,0.0,0
0,0,0.0,0.0,0.0,1317.296938394166,3,0.0,0
0,0,0.0,0.0,0.0,0.0,0,0.0,2
0,0,0.0,0.0,0.0,770.6863901111465,0,0.0,0
0,0,0.0,0.0,0.0,413.03883190049487,1,0.0,0
0,0,0.0,0.0,0.0,864.1292673715285,1,0.0,2
3,3,0.3364485502243042,0.7337691783905029,1.0,757.1040407721589,1,0.0,2
14,9,0.0751952954701015,0.3499172585351126,4.666666666666667,0.0,0,0.0,1
7,6,0.1190191337040492,0.5760306971413749,2.333333333333333,833.0735267984926,1,0.0,0
14,2,0.2030416451967679,0.2343971133232116,4.666666666666667,1311.545179769268,1,0.0,1
17,6,0.0594194829463958,0.2475875966689165,5.666666666666667,0.0,0,0.0,1
0,0,0.0,0.0,0.0,1493.6990030833044,3,0.0,1
0,0,0.0,0.0,0.0,957.6756934506728,0,0.0,2
13,8,0.1245112419128418,0.2656047542889913,4.333333333333333,0.0,0,0.0,0
0,0,0.0,0.0,0.0,1132.992143550431,2,0.0,0
0,0,0.0,0.0,0.0,285.821291543924,0,0.0,2
0,0,0.0,0.0,0.0,678.6260843912772,1,0.0,2
6,4,0.136616309483846,0.956201696395874,2.0,0.0,0,0.0,2
0,0,0.0,0.0,0.0,1014.1795029234784,0,0.0,0
0,0,0.0,0.0,0.0,726.3004643125925,0,0.0,2
5,4,0.2967959880828857,0.7693319320678711,1.6666666666666667,520.1470459324762,0,0.0,2
1,1,0.1270263195037841,0.0,0.3333333333333333,1025.5573686272032,0,0.0,0
10,6,0.1200502395629882,0.3169466389550103,3.333333333333333,0.0,0,0.0,0
0,0,0.0,0.0,0.0,2736.9894076536184,4,0.0,1
2,2,0.1332348585128784,0.0425198078155517,0.6666666666666666,0.0,0,0.0,2
0,0,0.0,0.0,0.0,220.45069949312577,0,0.0,2
0,0,0.0,0.0,0.0,1070.6225330836194,2,0.0,1
23,10,0.0837810798124833,0.1923241723667491,7.666666666666667,0.0,0,0.0,1
15,11,0.1624983787536621,0.2256360689798991,5.0,0.0,0,0.0,2
0,0,0.0,0.0,0.0,459.21193289064746,1,0.0,0
7,7,0.122525862285069,0.1937427123387654,2.333333333333333,1468.594884155203,0,0.0,0
20,10,0.1301326375258596,0.2378737926483154,6.666666666666667,2652.947930578887,1,0.0,1
28,12,0.0791160779840806,0.736992562258685,9.333333333333334,0.0,0,0.0,1
0,0,0.0,0.0,0.0,1118.232370701778,0,0.0,0
0,0,0.0,0.0,0.0,635.3724656621404,0,0.0,2
0,0,0.0,0.0,0.0,1104.066771585353,2,0.0,0
0,0,0.0,0.0,0.0,508.5003734236953,1,0.0,2
