key_count,unique_keys,dwell_mean,flight_mean,key_rate,mouse_speed_mean,mouse_clicks,eye_aspect_mean,label
0,0,0.0,0.0,0.0,669.8962417065059,1,0.0,0
0,0,0.0,0.0,0.0,658.6220342936031,1,0.0,0
0,0,0.0,0.0,0.0,0.0,0,0.0,0
0,0,0.0,0.0,0.0,1649.9856764180163,0,0.0,0
0,0,0.0,0.0,0.0,0.0,0,0.0,0
0,0,0.0,0.0,0.0,199.43435880367076,0,0.0,0
0,0,0.0,0.0,0.0,0.0,0,0.0,0
0,0,0.0,0.0,0.0,1335.4589199382654,0,0.0,0
0,0,0.0,0.0,0.0,902.6346599969644,0,0.0,0
0,0,0.0,0.0,0.0,770.6863901111465,0,0.0,0
0,0,0.0,0.0,0.0,616.4767705409927,1,0.0,0
0,0,0.0,0.0,0.0,1104.066771585353,2,0.0,0
12,8,0.13950872421264648,0.25347739999944513,4.0,0.0,0,0.0,0
15,8,0.14074285825093588,0.22385827132633754,5.0,0.0,0,0.0,0
15,12,0.11693843205769856,0.25370681285858154,5.0,0.0,0,0.0,0
7,6,0.10178232192993164,0.8045899470647176,2.3333333333333335,861.3439641549769,0,0.0,0
14,10,0.12906479835510254,0.2845691167391263,4.666666666666667,0.0,0,0.0,0
13,10,0.11703841502849872,0.2847147385279338,4.333333333333333,0.0,0,0.0,0
9,6,0.13850069046020508,0.4211258292198181,3.0,0.0,0,0.0,0
16,11,0.14084676106770833,0.24251936276753744,5.333333333333333,0.0,0,0.0,0
6,3,0.39191850026448566,0.8633540471394857,2.0,1444.6683166610567,0,0.0,0
7,2,0.5143959522247314,0.8464762687683105,2.3333333333333335,1643.8489036273122,0,0.0,0
7,6,0.13599000658307756,0.6321271657943726,2.3333333333333335,1678.8617071170095,0,0.0,0
15,11,0.12207992871602376,0.25117599964141846,5.0,0.0,0,0.0,0
9,6,0.11350266138712566,0.35103973746299744,3.0,0.0,0,0.0,0
16,11,0.11151213943958282,0.23347803751627605,5.333333333333333,0.0,0,0.0,0
15,7,0.11712639672415597,0.2804203374045236,5.0,0.0,0,0.0,0
18,12,0.09627011243034811,0.23265769746568468,6.0,0.0,0,0.0,0
16,10,0.12023329734802246,0.24753811955451965,5.333333333333333,0.0,0,0.0,0
17,11,0.14045374533709357,0.22302161157131195,5.666666666666667,0.0,0,0.0,0
16,10,0.10401433308919271,0.28058975537618003,5.333333333333333,0.0,0,0.0,0
13,10,0.10902188374445988,0.3276822383587177,4.333333333333333,0.0,0,0.0,0
16,12,0.11355330049991608,0.21461081504821777,5.333333333333333,0.0,0,0.0,0
7,7,0.12252586228506905,0.19374271233876547,2.3333333333333335,1468.5948841552033,0,0.0,0
6,4,0.19107227325439452,0.4010181903839111,2.0,683.6174148306642,1,0.0,0
3,3,0.21438992023468018,0.41394102573394775,1.0,218.16295744925844,1,0.0,0
3,3,0.27524081865946454,0.6633695363998413,1.0,223.30101349093962,1,0.0,0
0,0,0.0,0.0,0.0,307.7693605225681,0,0.0,0
0,0,0.0,0.0,0.0,526.7918931906158,0,0.0,0
8,5,0.14049148559570312,0.20428548540387834,2.6666666666666665,298.254453704407,1,0.0,0
17,11,0.12273969369776108,0.2073417454957962,5.666666666666667,0.0,0,0.0,0
18,7,0.11297052046831917,0.21960028480080998,6.0,0.0,0,0.0,0
16,10,0.12089982628822327,0.24380305409431458,5.333333333333333,0.0,0,0.0,0
14,9,0.12060964107513428,0.3281641189868634,4.666666666666667,0.0,0,0.0,0
10,8,0.21667470932006835,0.2600053681267632,3.3333333333333335,1508.9429681948338,0,0.0,0
2,2,0.3283817768096924,0.0,0.6666666666666666,2401.775201263091,0,0.0,0
12,8,0.13653719425201416,0.310769341208718,4.0,0.0,0,0.0,0
17,10,0.10676747209885541,0.2097080796957016,5.666666666666667,0.0,0,0.0,0
18,11,0.1137001911799113,0.21455418362337,6.0,0.0,0,0.0,0
14,10,0.12018592017037528,0.18815099276029146,4.666666666666667,1340.7626907452493,0,0.0,0
10,8,0.19311481714248657,0.4519054889678955,3.3333333333333335,720.0215580726306,0,0.0,0
6,6,0.1486335595448812,0.8070773283640543,2.0,0.0,0,0.0,0
3,3,0.20952355861663818,0.361405611038208,1.0,313.7012471154141,2,0.0,0
7,7,0.14075871876307897,0.5029331048329672,2.3333333333333335,265.91772580995166,0,0.0,0
6,4,0.11265091896057129,0.799530029296875,2.0,272.89667945705827,1,0.0,0
1,1,0.11776065826416016,0.0,0.3333333333333333,104.17329685146382,1,0.0,0
7,6,0.1439159597669329,0.36349089940388996,2.3333333333333335,0.0,0,0.0,0
13,8,0.13017722276540902,0.23343745867411295,4.333333333333333,1414.8752620518312,0,0.0,0
15,12,0.12930519240243094,0.27947979313986643,5.0,0.0,0,0.0,0
10,10,0.16245388984680176,0.5720571279525757,3.3333333333333335,721.1868806579006,0,0.0,0
9,7,0.145556370417277,0.3423760732014974,3.0,1415.005323978698,0,0.0,0
0,0,0.0,0.0,0.0,830.7390210956077,3,0.0,0
0,0,0.0,0.0,0.0,965.810449912631,2,0.0,0
0,0,0.0,0.0,0.0,990.5039659675575,2,0.0,0
0,0,0.0,0.0,0.0,754.6647914835513,2,0.0,0
0,0,0.0,0.0,0.0,1189.4840529081935,4,0.0,0
5,2,0.11160600185394287,0.29384827613830566,1.6666666666666667,1082.3764015834474,1,0.0,0
4,2,0.1117253303527832,0.6765404939651489,1.3333333333333333,595.3162778524766,0,0.0,0
0,0,0.0,0.0,0.0,1042.8238388810744,1,0.0,0
